driverId.int32(),driverRef.string(),nationality.string()
306,beltoise,French
307,ganley,New Zealander
308,robarts,British
309,revson,American
310,driver,South African
311,belso,Danish
312,redman,British
313,opel,Liechtensteiner
314,schenken,Australian
315,larrousse,French
316,kinnunen,Finnish
317,wisell,Swedish
318,roos,Swedish
319,dolhem,French
320,gethin,British
321,bell,British
322,hobbs,British
323,quester,Austrian
324,koinigg,Austrian
325,facetti,Italian
326,wietzes,Canadian
327,cevert,French
328,stewart,British
329,beuttler,British
330,galli,Italian
331,bueno,Brazilian
332,follmer,American
333,adamich,Italian
334,pretorius,South African
335,williamson,British
336,mcrae,New Zealander
337,marko,Austrian
338,walker,Australian
339,roig,Spanish
340,love,Rhodesian
341,surtees,British
342,barber,American
343,brack,Canadian
344,posey,American
345,rodriguez,Mexican
346,siffert,Swiss
347,bonnier,Swedish
348,mazet,French
349,jean,French
350,elford,British
351,moser,Swiss
352,eaton,Canadian
353,lovely,American
354,craft,British
355,Cannoc,Canadian
356,jack_brabham,Australian
357,miles,British
358,rindt,Austrian
359,gavin,French
360,mclaren,New Zealander
361,courage,British
362,klerk,South African
363,giunti,Italian
364,gurney,American
365,hahne,German
366,hutchison,American
367,westbury,British
368,tingle,Rhodesian
369,rooyen,South African
370,attwood,British
371,pease,Canadian
372,cordts,Canadian
373,clark,British
374,spence,British
375,scarfiotti,Italian
376,bianchi,Belgian
377,jo_schlesser,French
378,widdows,British
379,ahrens,German
380,gardner,Australian
381,unser,American
382,solana,Mexican
383,anderson,British
384,botha,South African
385,bandini,Italian
386,ginther,American
387,parkes,British
388,irwin,British
389,ligier,French
390,rees,British
391,hart,British
392,fisher,American
393,tom_jones,American
394,baghetti,Italian
395,williams,British
396,bondurant,American
397,arundell,British
398,vic_wilson,British
399,taylor,British
400,lawrence,British
401,trevor_taylor,British
402,geki,Italian
403,phil_hill,American
404,ireland,British
405,bucknum,American
406,hawkins,Australian
407,prophet,British
408,maggs,South African
409,blokdyk,South African
410,lederle,South African
411,serrurier,South African
412,niemann,South African
413,pieterse,South African
414,puzey,Rhodesian
415,reed,South African
416,clapham,South African
417,blignaut,South African
418,gregory,American
